nm,AGoMG50,AGoMG20,AGoMG,AGoMG05
398.0,0.053,0.084,0.075,0.038
398.5,0.052,0.078,0.076,0.039
399.0,0.054,0.069,0.071,0.043
399.5,0.056,0.066,0.065,0.046
400.0,0.054,0.068,0.062,0.048
400.5,0.051,0.073,0.062,0.05
401.0,0.05,0.076,0.063,0.049
401.5,0.051,0.075,0.063,0.044
402.0,0.054,0.069,0.063,0.039
402.5,0.058,0.061,0.061,0.038
403.0,0.062,0.054,0.059,0.043
403.5,0.065,0.051,0.058,0.051
404.0,0.067,0.051,0.057,0.056
404.5,0.067,0.052,0.058,0.057
405.0,0.066,0.052,0.06,0.056
405.5,0.062,0.053,0.063,0.055
406.0,0.058,0.057,0.064,0.051
406.5,,,,
407.0,,,,
407.5,,,,
408.0,,,,
408.5,,,,
409.0,,,,
409.5,,,,
410.0,,,,
