nm,A,A05,A20,A50
366.5,0.511,0.082,0.134,0.162
367.0,0.506,0.077,0.104,0.164
367.5,0.506,0.068,0.094,0.166
368.0,0.512,0.06,0.115,0.165
368.5,0.517,0.058,0.136,0.159
369.0,0.513,0.06,0.135,0.148
369.5,0.5,0.064,0.124,0.139
370.0,0.486,0.068,0.121,0.136
370.5,0.481,0.071,0.114,0.137
371.0,0.484,0.07,0.107,0.137
371.5,0.487,0.067,0.107,0.131
372.0,0.484,0.067,0.101,0.125
372.5,0.475,0.073,0.096,0.126
373.0,0.468,0.084,0.103,0.136
373.5,0.468,0.091,0.102,0.149
374.0,0.474,0.091,0.088,0.153
374.5,0.479,0.086,0.089,0.144
375.0,0.48,0.079,0.096,0.128
375.5,0.478,0.075,0.082,0.119
376.0,0.472,0.074,0.075,0.119
376.5,0.466,0.074,0.091,0.122
377.0,0.462,0.071,0.096,0.123
377.5,0.46,0.065,0.087,0.124
378.0,0.459,0.063,0.097,0.124
378.5,0.455,0.065,0.123,0.122
379.0,0.449,0.066,0.119,0.117
379.5,0.443,0.061,0.092,0.112
380.0,0.442,0.048,0.087,0.113
380.5,0.441,0.038,0.087,0.118
381.0,0.437,0.04,0.078,0.117
381.5,0.427,0.055,0.081,0.107
382.0,0.419,0.069,0.094,0.097
382.5,0.419,0.072,0.102,0.095
383.0,0.426,0.06,0.102,0.101
383.5,0.436,0.046,0.096,0.106
384.0,0.439,0.039,0.082,0.106
384.5,0.431,0.043,0.063,0.099
385.0,0.418,0.049,0.065,0.092
385.5,0.406,0.051,0.095,0.087
386.0,0.4,0.048,0.107,0.086
386.5,0.394,0.043,0.092,0.087
387.0,0.388,0.042,0.078,0.086
387.5,0.386,0.044,0.071,0.083
388.0,0.388,0.046,0.074,0.079
388.5,0.388,0.045,0.087,0.078
389.0,0.383,0.041,0.099,0.082
389.5,0.371,0.038,0.106,0.089
390.0,0.359,0.038,0.099,0.093
390.5,0.349,0.041,0.074,0.094
391.0,0.345,0.048,0.061,0.093
391.5,0.345,0.055,0.072,0.09
392.0,0.345,0.059,0.072,0.086
392.5,0.344,0.06,0.063,0.084
393.0,0.342,0.062,0.077,0.086
393.5,0.34,0.066,0.089,0.089
394.0,0.339,0.069,0.082,0.089
394.5,0.338,0.064,0.078,0.083
395.0,0.333,0.051,0.071,0.077
395.5,0.325,0.036,0.063,0.075
396.0,0.317,0.029,0.069,0.077
396.5,0.309,0.029,0.078,0.078
397.0,0.301,0.03,0.077,0.074
397.5,0.297,0.03,0.065,0.067
398.0,0.296,0.028,0.058,0.064
398.5,0.299,0.028,0.058,0.065
399.0,0.3,0.027,0.059,0.068
399.5,0.297,0.026,0.068,0.071
400.0,0.286,0.025,0.084,0.075
400.5,0.273,0.024,0.082,0.077
401.0,0.263,0.025,0.063,0.077
401.5,0.258,0.028,0.062,0.074
402.0,0.253,0.029,0.083,0.072
402.5,0.245,0.032,0.094,0.072
403.0,0.235,0.035,0.084,0.074
403.5,0.229,0.038,0.065,0.074
404.0,0.228,0.039,0.056,0.072
404.5,0.227,0.037,0.06,0.068
405.0,0.223,0.034,0.071,0.064
405.5,0.218,0.032,0.077,0.06
406.0,0.213,0.03,0.069,0.055
406.5,0.0,0.0,0.046,0.0
407.0,0.0,0.0,0.029,0.0
407.5,0.0,0.0,0.032,0.0
408.0,0.0,0.0,0.042,0.0
408.5,0.0,0.0,0.0,0.0
409.0,0.0,0.0,0.0,0.0
409.5,0.0,0.0,0.0,0.0
410.0,0.0,0.0,0.0,0.0
