nm,A,A05,A20,A50
372.0,0.108,0.084,0.096,0.11
372.5,0.097,0.087,0.09,0.116
373.0,0.083,0.083,0.089,0.111
373.5,0.074,0.077,0.09,0.101
374.0,0.077,0.075,0.091,0.098
374.5,0.089,0.077,0.095,0.105
375.0,0.101,0.075,0.11,0.111
375.5,0.106,0.064,0.133,0.109
376.0,0.104,0.05,0.152,0.103
376.5,0.102,0.042,0.157,0.1
377.0,0.103,0.043,0.146,0.101
377.5,0.105,0.051,0.129,0.097
378.0,0.104,0.057,0.116,0.088
378.5,0.099,0.058,0.111,0.08
379.0,0.094,0.054,0.11,0.075
379.5,0.09,0.048,0.106,0.075
380.0,0.087,0.042,0.101,0.078
380.5,0.083,0.037,0.1,0.086
381.0,0.082,0.036,0.103,0.096
381.5,0.082,0.04,0.105,0.105
382.0,0.083,0.046,0.1,0.109
382.5,0.082,0.051,0.094,0.106
383.0,0.082,0.053,0.092,0.098
383.5,0.083,0.05,0.097,0.088
384.0,0.081,0.048,0.102,0.079
384.5,0.074,0.049,0.1,0.075
385.0,0.066,0.051,0.093,0.073
385.5,0.064,0.055,0.088,0.075
386.0,0.069,0.06,0.09,0.082
386.5,0.075,0.061,0.098,0.089
387.0,0.079,0.056,0.103,0.089
387.5,0.079,0.044,0.099,0.082
388.0,0.077,0.03,0.09,0.076
388.5,0.079,0.02,0.082,0.075
389.0,0.083,0.019,0.079,0.08
389.5,0.085,0.024,0.079,0.084
390.0,0.08,0.031,0.079,0.082
390.5,0.072,0.037,0.082,0.077
391.0,0.067,0.04,0.088,0.073
391.5,0.068,0.038,0.095,0.072
392.0,0.07,0.033,0.097,0.073
392.5,0.072,0.03,0.093,0.074
393.0,0.07,0.031,0.084,0.07
393.5,0.067,0.037,0.077,0.063
394.0,0.065,0.043,0.075,0.056
394.5,0.066,0.046,0.078,0.054
395.0,0.067,0.045,0.083,0.058
395.5,0.066,0.041,0.085,0.066
396.0,0.06,0.039,0.082,0.074
396.5,0.056,0.04,0.079,0.076
397.0,0.059,0.041,0.081,0.071
397.5,0.067,0.04,0.084,0.06
398.0,0.075,0.038,0.084,0.053
398.5,0.076,0.039,0.078,0.052
399.0,0.071,0.043,0.069,0.054
399.5,0.065,0.046,0.066,0.056
400.0,0.062,0.048,0.068,0.054
400.5,0.062,0.05,0.073,0.051
401.0,0.063,0.049,0.076,0.05
401.5,0.063,0.044,0.075,0.051
402.0,0.063,0.039,0.069,0.054
402.5,0.061,0.038,0.061,0.058
403.0,0.059,0.043,0.054,0.062
403.5,0.058,0.051,0.051,0.065
404.0,0.057,0.056,0.051,0.067
404.5,0.058,0.057,0.052,0.067
405.0,0.06,0.056,0.052,0.066
405.5,0.063,0.055,0.053,0.062
406.0,0.064,0.051,0.057,0.058
406.5,0.0,0.0,0.0,0.0
407.0,0.0,0.0,0.0,0.0
407.5,0.0,0.0,0.0,0.0
408.0,0.0,0.0,0.0,0.0
408.5,0.0,0.0,0.0,0.0
409.0,0.0,0.0,0.0,0.0
409.5,0.0,0.0,0.0,0.0
410.0,0.0,0.0,0.0,0.0
