nm,AMiMG,AMiMG20,AMiMG05,AMiMG50
317.0,0.484,0.47,0.24,0.589
317.5,0.484,0.472,0.242,0.589
318.0,0.485,0.471,0.243,0.59
318.5,0.485,0.47,0.245,0.591
319.0,0.486,0.472,0.246,0.593
319.5,0.487,0.472,0.246,0.594
320.0,0.488,0.47,0.246,0.594
320.5,0.488,0.47,0.246,0.593
321.0,0.488,0.473,0.246,0.592
321.5,0.49,0.474,0.245,0.592
322.0,0.493,0.471,0.245,0.592
322.5,0.495,0.469,0.246,0.592
323.0,0.496,0.468,0.246,0.591
323.5,0.496,0.468,0.246,0.591
324.0,0.496,0.469,0.245,0.59
324.5,0.496,0.467,0.244,0.588
325.0,0.498,0.463,0.243,0.586
325.5,0.499,0.462,0.243,0.584
326.0,0.499,0.464,0.244,0.582
326.5,0.499,0.463,0.244,0.58
327.0,0.5,0.458,0.243,0.577
327.5,0.5,0.455,0.241,0.574
328.0,0.5,0.453,0.238,0.571
328.5,0.501,0.451,0.236,0.568
329.0,0.502,0.45,0.235,0.565
329.5,0.503,0.448,0.235,0.561
330.0,0.504,0.447,0.235,0.557
330.5,0.505,0.443,0.234,0.553
331.0,0.506,0.437,0.231,0.549
331.5,0.507,0.433,0.228,0.544
332.0,0.508,0.429,0.224,0.54
332.5,0.508,0.427,0.221,0.536
333.0,0.508,0.424,0.219,0.531
333.5,0.509,0.418,0.218,0.525
334.0,0.51,0.41,0.217,0.517
334.5,0.511,0.406,0.216,0.51
335.0,0.512,0.405,0.214,0.504
335.5,0.512,0.402,0.211,0.499
336.0,0.512,0.397,0.208,0.495
336.5,0.512,0.389,0.205,0.491
337.0,0.512,0.384,0.203,0.487
337.5,0.511,0.383,0.201,0.481
338.0,0.511,0.377,0.2,0.474
338.5,0.51,0.371,0.198,0.465
339.0,0.51,0.367,0.195,0.454
339.5,0.509,0.358,0.19,0.444
340.0,0.507,0.351,0.184,0.434
340.5,0.506,0.347,0.177,0.427
341.0,0.51,0.34,0.17,0.424
341.5,0.516,0.344,0.163,0.424
342.0,0.521,0.345,0.157,0.421
342.5,0.52,0.326,0.155,0.412
343.0,0.517,0.309,0.158,0.398
343.5,0.513,0.313,0.166,0.383
344.0,0.51,0.317,0.172,0.372
344.5,0.511,0.304,0.171,0.367
345.0,0.513,0.296,0.167,0.367
345.5,0.514,0.309,0.162,0.365
346.0,0.51,0.307,0.158,0.36
346.5,0.503,0.281,0.152,0.35
347.0,0.499,0.274,0.142,0.34
347.5,0.502,0.275,0.133,0.332
348.0,0.509,0.257,0.128,0.325
348.5,0.517,0.249,0.128,0.318
349.0,0.524,0.264,0.13,0.311
349.5,0.527,0.27,0.132,0.306
350.0,0.528,0.26,0.131,0.301
350.5,0.527,0.243,0.131,0.296
351.0,0.525,0.224,0.131,0.29
351.5,0.524,0.213,0.131,0.282
352.0,0.523,0.218,0.128,0.273
352.5,0.522,0.222,0.124,0.266
353.0,0.521,0.208,0.121,0.259
353.5,0.521,0.195,0.12,0.253
354.0,0.52,0.192,0.12,0.248
354.5,0.515,0.191,0.118,0.244
355.0,0.509,0.201,0.115,0.24
355.5,0.503,0.215,0.112,0.235
356.0,0.502,0.211,0.111,0.23
356.5,0.506,0.193,0.109,0.226
357.0,0.51,0.179,0.107,0.223
357.5,0.512,0.176,0.104,0.219
358.0,0.511,0.175,0.102,0.213
358.5,0.51,0.176,0.099,0.205
359.0,0.512,0.176,0.095,0.197
359.5,0.514,0.166,0.092,0.191
360.0,0.514,0.164,0.088,0.189
360.5,0.511,0.176,0.085,0.19
361.0,0.507,0.178,0.083,0.192
361.5,0.502,0.172,0.085,0.192
362.0,0.498,0.173,0.091,0.19
362.5,0.496,0.173,0.098,0.185
363.0,0.495,0.162,0.103,0.179
363.5,0.494,0.152,0.102,0.172
364.0,0.495,0.151,0.094,0.165
364.5,0.498,0.146,0.083,0.161
365.0,0.504,0.134,0.077,0.16
365.5,0.512,0.135,0.077,0.162
366.0,0.515,0.145,0.081,0.162
366.5,0.511,0.134,0.082,0.162
367.0,0.506,0.104,0.077,0.164
367.5,0.506,0.094,0.068,0.166
368.0,0.512,0.115,0.06,0.165
368.5,0.517,0.136,0.058,0.159
369.0,0.513,0.135,0.06,0.148
369.5,0.5,0.124,0.064,0.139
370.0,0.486,0.121,0.068,0.136
370.5,0.481,0.114,0.071,0.137
371.0,0.484,0.107,0.07,0.137
371.5,0.487,0.107,0.067,0.131
372.0,0.484,0.101,0.067,0.125
372.5,0.475,0.096,0.073,0.126
373.0,0.468,0.103,0.084,0.136
373.5,0.468,0.102,0.091,0.149
374.0,0.474,0.088,0.091,0.153
374.5,0.479,0.089,0.086,0.144
375.0,0.48,0.096,0.079,0.128
375.5,0.478,0.082,0.075,0.119
376.0,0.472,0.075,0.074,0.119
376.5,0.466,0.091,0.074,0.122
377.0,0.462,0.096,0.071,0.123
377.5,0.46,0.087,0.065,0.124
378.0,0.459,0.097,0.063,0.124
378.5,0.455,0.123,0.065,0.122
379.0,0.449,0.119,0.066,0.117
379.5,0.443,0.092,0.061,0.112
380.0,0.442,0.087,0.048,0.113
380.5,0.441,0.087,0.038,0.118
381.0,0.437,0.078,0.04,0.117
381.5,0.427,0.081,0.055,0.107
382.0,0.419,0.094,0.069,0.097
382.5,0.419,0.102,0.072,0.095
383.0,0.426,0.102,0.06,0.101
383.5,0.436,0.096,0.046,0.106
384.0,0.439,0.082,0.039,0.106
384.5,0.431,0.063,0.043,0.099
385.0,0.418,0.065,0.049,0.092
385.5,0.406,0.095,0.051,0.087
386.0,0.4,0.107,0.048,0.086
386.5,0.394,0.092,0.043,0.087
387.0,0.388,0.078,0.042,0.086
387.5,0.386,0.071,0.044,0.083
388.0,0.388,0.074,0.046,0.079
388.5,0.388,0.087,0.045,0.078
389.0,0.383,0.099,0.041,0.082
