"nm"	"Ch"	"Go"	"Illy"	"Mi"	"Ox"	"Ve"
344.5	0.382	0.329	0.531	0.511	0.527	0.431
345	0.368	0.321	0.526	0.513	0.516	0.427
345.5	0.361	0.312	0.521	0.514	0.509	0.421
346	0.362	0.305	0.514	0.51	0.502	0.422
346.5	0.364	0.302	0.507	0.503	0.493	0.415
347	0.362	0.299	0.5	0.499	0.482	0.407
347.5	0.355	0.294	0.494	0.502	0.473	0.403
348	0.347	0.289	0.491	0.509	0.464	0.394
348.5	0.34	0.284	0.49	0.517	0.455	0.382
349	0.335	0.28	0.488	0.524	0.443	0.375
349.5	0.327	0.274	0.484	0.527	0.429	0.373
350	0.318	0.265	0.478	0.528	0.418	0.373
350.5	0.31	0.256	0.469	0.527	0.408	0.372
351	0.303	0.249	0.463	0.525	0.399	0.372
351.5	0.296	0.246	0.46	0.524	0.389	0.373
352	0.29	0.243	0.461	0.523	0.38	0.365
352.5	0.286	0.239	0.46	0.522	0.371	0.351
353	0.283	0.235	0.457	0.521	0.36	0.345
353.5	0.28	0.23	0.451	0.521	0.346	0.346
354	0.273	0.227	0.445	0.52	0.332	0.343
354.5	0.264	0.222	0.441	0.515	0.321	0.336
355	0.254	0.215	0.441	0.509	0.315	0.335
355.5	0.246	0.208	0.443	0.503	0.31	0.33
356	0.241	0.203	0.443	0.502	0.305	0.316
356.5	0.239	0.199	0.439	0.506	0.3	0.315
357	0.238	0.197	0.434	0.51	0.297	0.327
357.5	0.236	0.196	0.428	0.512	0.293	0.322
358	0.231	0.194	0.423	0.511	0.285	0.3
358.5	0.223	0.191	0.418	0.51	0.272	0.297
359	0.216	0.185	0.415	0.512	0.258	0.305
359.5	0.21	0.179	0.415	0.514	0.247	0.3
360	0.207	0.171	0.417	0.514	0.242	0.293
360.5	0.204	0.164	0.416	0.511	0.238	0.291
361	0.202	0.16	0.411	0.507	0.234	0.286
361.5	0.201	0.161	0.404	0.502	0.228	0.283
362	0.203	0.165	0.397	0.498	0.22	0.283
362.5	0.202	0.167	0.393	0.496	0.212	0.277
363	0.197	0.166	0.391	0.495	0.206	0.269
363.5	0.188	0.16	0.391	0.494	0.203	0.269
364	0.18	0.154	0.391	0.495	0.204	0.273
364.5	0.177	0.149	0.39	0.498	0.206	0.267
365	0.177	0.147	0.388	0.504	0.205	0.257
365.5	0.179	0.147	0.383	0.512	0.199	0.258
366	0.178	0.145	0.375	0.515	0.189	0.262
366.5	0.175	0.142	0.367	0.511	0.181	0.253
367	0.172	0.137	0.361	0.506	0.176	0.242
367.5	0.171	0.133	0.361	0.506	0.172	0.244
368	0.17	0.128	0.364	0.512	0.166	0.251
368.5	0.165	0.122	0.367	0.517	0.159	0.25
369	0.158	0.115	0.368	0.513	0.153	0.244
369.5	0.153	0.11	0.368	0.5	0.15	0.244
370	0.153	0.109	0.368	0.486	0.151	0.244
370.5	0.155	0.111	0.367	0.481	0.155	0.236
371	0.155	0.113	0.36	0.484	0.159	0.227
371.5	0.151	0.113	0.348	0.487	0.162	0.227
372	0.145	0.108	0.336	0.484	0.164	0.223
372.5	0.142	0.097	0.333	0.475	0.163	0.207
373	0.145	0.083	0.339	0.468	0.157	0.196
373.5	0.151	0.074	0.349	0.468	0.142	0.184
374	0.155	0.077	0.356	0.474	0.127	0.162
374.5	0.154	0.089	0.359	0.479	0.119	0.172
375	0.148	0.101	0.359	0.48	0.122	0.202
375.5	0.142	0.106	0.358	0.478	0.131	0.194
376	0.14	0.104	0.353	0.472	0.137	0.173
376.5	0.145	0.102	0.344	0.466	0.133	0.183
377	0.153	0.103	0.336	0.462	0.124	0.185
377.5	0.155	0.105	0.328	0.46	0.116	0.173
378	0.146	0.104	0.321	0.459	0.115	0.176
378.5	0.135	0.099	0.314	0.455	0.116	0.175
379	0.127	0.094	0.307	0.449	0.114	0.157
379.5	0.127	0.09	0.301	0.443	0.112	0.139
380	0.128	0.08699999999999999	0.301	0.442	0.111	0.139
380.5	0.126	0.083	0.304	0.441	0.113	0.164
381	0.121	0.082	0.31	0.437	0.113	0.18
381.5	0.116	0.082	0.314	0.427	0.113	0.173
382	0.113	0.083	0.314	0.419	0.114	0.167
382.5	0.114	0.082	0.313	0.419	0.12	0.162
383	0.117	0.082	0.312	0.426	0.13	0.15
383.5	0.117	0.083	0.31	0.436	0.135	0.142
384	0.115	0.081	0.305	0.439	0.129	0.147
384.5	0.109	0.074	0.295	0.431	0.116	0.149
385	0.103	0.066	0.287	0.418	0.105	0.147
385.5	0.098	0.064	0.283	0.406	0.101	0.162
386	0.097	0.06900000000000001	0.285	0.4	0.102	0.16
386.5	0.102	0.075	0.288	0.394	0.1	0.146
387	0.111	0.079	0.288	0.388	0.096	0.152
387.5	0.118	0.079	0.282	0.386	0.093	0.143
388	0.115	0.077	0.274	0.388	0.09	0.119
388.5	0.104	0.079	0.266	0.388	0.08599999999999999	0.126
389	0.091	0.083	0.259	0.383	0.079	0.155
389.5	0.082	0.08500000000000001	0.253	0.371	0.073	0.173
390	0.079	0.08	0.249	0.359	0.075	0.171
390.5	0.08400000000000001	0.07199999999999999	0.249	0.349	0.081	0.155
391	0.097	0.067	0.254	0.345	0.08799999999999999	0.138
391.5	0.111	0.068	0.26	0.345	0.092	0.131
392	0.119	0.07000000000000001	0.262	0.345	0.097	0.137
392.5	0.117	0.07199999999999999	0.257	0.344	0.102	0.146
393	0.107	0.07000000000000001	0.248	0.342	0.102	0.144
393.5	0.099	0.067	0.24	0.34	0.096	0.144
394	0.098	0.065	0.238	0.339	0.09	0.16
394.5	0.101	0.066	0.238	0.338	0.08699999999999999	0.165
395	0.102	0.067	0.239	0.333	0.08799999999999999	0.147
395.5	0.099	0.066	0.237	0.325	0.091	0.134
396	0.099	0.06	0.234	0.317	0.095	0.129
396.5	0.104	0.056	0.231	0.309	0.098	0.112
397	0.109	0.059	0.229	0.301	0.097	0.111
397.5	0.108	0.067	0.226	0.297	0.093	0.128
398	0.1	0.075	0.221	0.296	0.08799999999999999	0.133
398.5	0.092	0.076	0.217	0.299	0.08400000000000001	0.13
399	0.091	0.07099999999999999	0.215	0.3	0.08	0.115
399.5	0.095	0.065	0.211	0.297	0.075	0.094
400	0.098	0.062	0.205	0.286	0.07000000000000001	0.097
