Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde,hv
3.5470719474661336e-35,3.076392047249433e-35,8.721965487314484e-34,8.832873319334608e-35,1.363128680600553e-34,1.5244243197682122e-34,1.606150194104866e-34,1.4721054099322068e-34,6.056325609756097e-19
3.556881125065533e-35,3.0209867966458067e-35,8.622650113683831e-34,8.722909188055286e-35,1.3500073628718878e-34,1.5000537497308302e-34,1.5887669980411191e-34,1.4729887891402717e-34,6.037917325227964e-19
3.550581796350754e-35,3.0554261889411994e-35,8.591400559893545e-34,8.720550765567398e-35,1.3428761874102037e-34,1.4955661690391546e-34,1.6011298894265698e-34,1.4552848996423176e-34,6.019620606060606e-19
3.5339237570668153e-35,2.9937156502706384e-35,8.487354651718371e-34,8.72794207546024e-35,1.320278514768238e-34,1.4740908480600018e-34,1.5810462260645658e-34,1.4405598317238129e-34,6.001434441087613e-19
3.4403491660553567e-35,2.928540800559649e-35,8.336430833686785e-34,8.612676425785886e-35,1.3106708878925405e-34,1.459852263053849e-34,1.5726162556676195e-34,1.4563324627833942e-34,5.9833578313253e-19
3.4006128724966806e-35,2.957705685462232e-35,8.406824738957141e-34,8.527450182128941e-35,1.3002012640159092e-34,1.452329035297844e-34,1.5696698856032767e-34,1.4230934292497846e-34,5.96538978978979e-19
3.346260535030154e-35,2.8489650760866387e-35,8.138232054623436e-34,8.231406183112708e-35,1.2817830850731606e-34,1.417298240389257e-34,1.5251231795570939e-34,1.3899117930082173e-34,5.947529341317365e-19
3.3484207810035203e-35,2.851976778418882e-35,8.186517833139692e-34,8.387308112706395e-35,1.2955696717936637e-34,1.4229347071890507e-34,1.5187435394820318e-34,1.4011005127419461e-34,5.929775522388059e-19
3.255677783111169e-35,2.826712072774658e-35,8.081254179952446e-34,8.260570344878206e-35,1.283575843305199e-34,1.39673913259341e-34,1.535230261179333e-34,1.3756519568432232e-34,5.91212738095238e-19
3.283275579884827e-35,2.744201843808277e-35,7.886128084591e-34,8.167586192437531e-35,1.2547068762142354e-34,1.3791956070876459e-34,1.512273316508432e-34,1.359597707503884e-34,5.894583976261127e-19
3.313971681626208e-35,2.717229439412892e-35,7.917346223018017e-34,8.043374513764057e-35,1.26589398941313e-34,1.3763474322574554e-34,1.5144859103302304e-34,1.3490645728928075e-34,5.877144378698224e-19
3.1267499606178186e-35,2.6298148160940786e-35,7.774928667927091e-34,7.929483761052037e-35,1.2535502878983845e-34,1.3500406934726094e-34,1.4715783394737247e-34,1.32136074690017e-34,5.859807669616519e-19
3.0808665893823734e-35,2.63879900519768e-35,7.664404051008006e-34,7.964072076122976e-35,1.217482839710993e-34,1.3044613710943749e-34,1.4648660988112555e-34,1.312868408329042e-34,5.84257294117647e-19
3.122005821268698e-35,2.5913070628577766e-35,7.669925665773507e-34,7.868445860465528e-35,1.2127418698301847e-34,1.3228625695673323e-34,1.4423032265631157e-34,1.299890429423506e-34,5.825439296187683e-19
3.0716764188059185e-35,2.583772232365031e-35,7.54467110273548e-34,7.849518774089581e-35,1.2011393677860084e-34,1.319334172642235e-34,1.4560941787113951e-34,1.2760385211591597e-34,5.808405847953216e-19
3.147564889335003e-35,2.5153100813728975e-35,7.4693329355850464e-34,7.653989161342837e-35,1.2005966821103076e-34,1.31690692043764e-34,1.4247919434574424e-34,1.2714950696534508e-34,5.791471720116617e-19
3.0538174425987837e-35,2.526488555865262e-35,7.487948159831843e-34,7.611243376878926e-35,1.1906842696312229e-34,1.2838735080405952e-34,1.4301440378038473e-34,1.2601459818274125e-34,5.774636046511627e-19
3.023646078735917e-35,2.5001516853389556e-35,7.405145034413666e-34,7.538458535933365e-35,1.1782114299047394e-34,1.2756341572765812e-34,1.4033619591062704e-34,1.2469087066586298e-34,5.757897971014492e-19
2.953104658846759e-35,2.4372523674709417e-35,7.2902723697269754e-34,7.406839359184465e-35,1.1752916570971253e-34,1.2735253701320054e-34,1.4087281329401333e-34,1.2483493681271928e-34,5.741256647398844e-19
2.926860424051141e-35,2.45194079493146e-35,7.282181041368399e-34,7.441224177005492e-35,1.1535697050817401e-34,1.2568189093823837e-34,1.4031754460022785e-34,1.2215308374454253e-34,5.724711239193083e-19
2.8871367781040286e-35,2.3751869510578904e-35,7.074313529103408e-34,7.267215230433335e-35,1.142203163368807e-34,1.2199413048441338e-34,1.364770881931883e-34,1.2156097018816418e-34,5.7082609195402295e-19
2.850151629440929e-35,2.3638458388563752e-35,7.066075518477854e-34,7.208715063483169e-35,1.132446918038716e-34,1.20344524783113e-34,1.385643712081198e-34,1.2052410458320265e-34,5.691904871060171e-19
2.7085406027892216e-35,2.163113755150887e-35,7.252361155353228e-34,5.93748492625717e-35,9.01001570941011e-35,9.693594356903158e-35,1.056142592815034e-34,9.71669171118346e-35,5.675642285714285e-19
2.671901924464141e-35,2.1398769687799567e-35,7.154886357009136e-34,5.88977534967871e-35,8.946090948655537e-35,9.625521589431191e-35,1.054623881100277e-34,9.598406812657908e-35,5.659472364672364e-19
2.672586361368151e-35,2.1604639345211498e-35,7.157860630938445e-34,5.853349825103297e-35,8.934942407234423e-35,9.588036764871783e-35,1.0540723764955737e-34,9.59753902036014e-35,5.643394318181817e-19
2.6355220488948785e-35,2.0944613157210108e-35,6.9835712599144336e-34,5.741407810525167e-35,8.777011089176222e-35,9.356968869081805e-35,1.0366404787003628e-34,9.487911711195421e-35,5.627407365439093e-19
