nm,AChMN,AChMN05,AChMN20,AChMN50
387.5,0.118,0.066,0.072,0.389
388.0,0.115,0.064,0.075,0.396
388.5,0.104,0.063,0.083,0.401
389.0,0.091,0.064,0.092,0.399
389.5,0.082,0.064,0.095,0.39
390.0,0.079,0.067,0.091,0.379
390.5,0.084,0.07,0.083,0.37
391.0,0.097,0.073,0.076,0.366
391.5,0.111,0.073,0.07,0.364
392.0,0.119,0.072,0.067,0.364
392.5,0.117,0.07,0.067,0.361
393.0,0.107,0.064,0.072,0.355
393.5,0.099,0.058,0.081,0.349
394.0,0.098,0.054,0.087,0.344
394.5,0.101,0.054,0.086,0.341
395.0,0.102,0.055,0.08,0.339
395.5,0.099,0.056,0.073,0.337
396.0,0.099,0.055,0.068,0.336
396.5,0.104,0.05,0.069,0.333
397.0,0.109,0.044,0.073,0.326
397.5,0.108,0.04,0.078,0.315
398.0,0.1,0.041,0.079,0.306
398.5,0.092,0.044,0.074,0.302
399.0,0.091,0.048,0.068,0.3
399.5,0.095,0.05,0.067,0.298
400.0,0.098,0.048,0.071,0.293
400.5,0.097,0.046,0.075,0.287
401.0,0.097,0.045,0.076,0.281
401.5,0.096,0.047,0.074,0.278
402.0,0.095,0.049,0.073,0.278
402.5,0.092,0.049,0.074,0.279
403.0,0.086,0.049,0.077,0.278
403.5,0.08,0.048,0.078,0.27
404.0,0.073,0.048,0.076,0.257
404.5,0.069,0.05,0.072,0.244
405.0,0.071,0.052,0.068,0.236
405.5,0.078,0.053,0.066,0.233
406.0,0.082,0.052,0.064,0.232
406.5,,,,
407.0,,,,
407.5,,,,
408.0,,,,
408.5,,,,
409.0,,,,
409.5,,,,
410.0,,,,
