nm,AChMG20,AChMG05,AChMG,AChMG50
374.5,0.11,0.077,0.106,0.159
375.0,0.107,0.079,0.098,0.16
375.5,0.102,0.073,0.088,0.163
376.0,0.095,0.061,0.083,0.165
376.5,0.088,0.046,0.084,0.167
377.0,0.085,0.038,0.089,0.169
377.5,0.086,0.042,0.09,0.171
378.0,0.088,0.055,0.087,0.171
378.5,0.089,0.068,0.083,0.17
379.0,0.089,0.074,0.084,0.166
379.5,0.091,0.07,0.088,0.163
380.0,0.091,0.059,0.091,0.159
380.5,0.088,0.047,0.087,0.154
381.0,0.081,0.041,0.081,0.147
381.5,0.075,0.043,0.078,0.139
382.0,0.072,0.047,0.079,0.132
382.5,0.076,0.042,0.081,0.131
383.0,0.083,0.029,0.08,0.136
383.5,0.088,0.02,0.074,0.145
384.0,0.084,0.024,0.065,0.152
384.5,0.073,0.038,0.059,0.152
385.0,0.063,0.055,0.058,0.146
385.5,0.061,0.069,0.059,0.134
386.0,0.069,0.075,0.059,0.124
386.5,0.078,0.073,0.057,0.119
387.0,0.082,0.066,0.057,0.121
387.5,0.081,0.058,0.06,0.124
388.0,0.077,0.052,0.064,0.126
388.5,0.074,0.05,0.064,0.128
389.0,0.072,0.052,0.058,0.132
389.5,0.071,0.058,0.051,0.136
390.0,0.069,0.066,0.05,0.137
390.5,0.068,0.068,0.054,0.135
391.0,0.071,0.065,0.061,0.135
391.5,0.076,0.059,0.066,0.139
392.0,0.08,0.054,0.067,0.144
392.5,0.076,0.053,0.066,0.142
393.0,0.069,0.053,0.063,0.133
393.5,0.063,0.054,0.059,0.121
394.0,0.061,0.053,0.058,0.112
394.5,0.059,0.051,0.059,0.11
395.0,0.057,0.051,0.061,0.113
395.5,0.053,0.052,0.059,0.115
396.0,0.05,0.055,0.054,0.114
396.5,0.051,0.057,0.05,0.109
397.0,0.056,0.055,0.051,0.103
397.5,0.063,0.052,0.059,0.101
398.0,0.067,0.047,0.068,0.104
398.5,0.066,0.042,0.074,0.111
399.0,0.06,0.037,0.074,0.118
399.5,0.053,0.033,0.069,0.119
400.0,0.047,0.03,0.062,0.114
400.5,0.046,0.03,0.054,0.109
401.0,0.049,0.031,0.048,0.108
401.5,0.054,0.032,0.045,0.108
402.0,0.058,0.032,0.043,0.107
402.5,0.06,0.031,0.041,0.102
403.0,0.059,0.032,0.043,0.096
403.5,0.06,0.032,0.049,0.09
404.0,0.063,0.033,0.056,0.087
404.5,0.063,0.037,0.058,0.086
405.0,0.057,0.041,0.056,0.085
405.5,0.046,0.045,0.052,0.083
406.0,0.038,0.046,0.049,0.079
406.5,,,,
407.0,,,,
407.5,,,,
408.0,,,,
408.5,,,,
409.0,,,,
409.5,,,,
410.0,,,,
