nm,TChMG20,TChMG05,TChMG50,TChMG
660.0,89.176,97.929,95.364,91.597
661.0,89.109,97.869,95.358,91.669
662.0,89.176,98.178,95.27,91.853
663.0,89.359,98.371,95.382,92.114
664.0,89.359,98.391,95.131,92.267
665.0,89.363,98.405,94.521,92.086
666.0,89.414,98.287,94.382,91.936
667.0,89.273,98.185,94.698,92.081
668.0,89.042,98.367,94.872,92.178
669.0,89.158,98.656,94.912,92.024
670.0,89.546,98.585,94.941,91.854
671.0,89.707,98.326,94.948,91.903
672.0,89.562,98.46,94.904,91.917
673.0,89.501,98.618,94.784,91.956
674.0,89.511,98.456,94.815,92.336
675.0,89.279,98.391,95.048,92.432
676.0,88.983,98.393,95.154,92.033
677.0,88.906,98.377,94.998,91.744
678.0,89.192,98.516,94.987,91.674
679.0,89.471,98.577,95.274,91.879
680.0,89.398,98.404,95.305,92.169
681.0,89.567,98.193,95.086,92.178
682.0,89.918,98.205,95.145,92.27
683.0,89.7,98.398,95.197,92.498
684.0,89.333,98.479,94.976,92.517
685.0,89.416,98.496,94.999,92.488
686.0,89.433,98.532,95.205,92.458
687.0,89.237,98.488,95.031,92.556
688.0,89.323,98.406,94.837,92.765
689.0,89.587,98.205,95.12,92.477
690.0,89.706,98.051,95.421,92.107
691.0,89.482,98.338,95.341,92.333
692.0,89.109,98.577,95.189,92.569
693.0,89.354,98.378,95.255,92.647
694.0,89.929,98.204,95.369,92.79
695.0,89.784,98.174,95.321,92.673
696.0,89.43,98.215,95.176,92.433
697.0,89.627,98.231,95.114,92.452
698.0,89.787,98.01,95.22,92.572
699.0,89.565,97.991,95.338,92.505
700.0,89.4,98.446,95.343,92.223
701.0,89.697,98.7,95.375,92.213
702.0,90.055,98.591,95.432,92.72
703.0,89.757,98.694,95.399,92.81
704.0,89.481,98.844,95.343,92.253
705.0,89.937,98.707,95.247,92.17
706.0,90.19,98.736,95.299,92.395
707.0,89.835,98.831,95.63,92.395
708.0,89.654,98.378,95.754,92.547
709.0,89.878,97.841,95.707,92.536
710.0,90.028,97.841,95.896,92.327
711.0,89.841,98.037,95.864,92.415
712.0,89.732,98.148,95.594,92.573
713.0,89.958,98.351,95.608,92.753
714.0,90.03,98.581,95.586,93.08
715.0,89.832,98.598,95.411,93.199
716.0,89.869,98.6,95.366,93.053
717.0,90.043,98.752,95.383,92.912
718.0,89.969,98.76,95.427,92.731
719.0,90.037,98.673,95.534,92.535
720.0,90.395,98.531,95.543,92.64
721.0,90.363,98.236,95.325,92.834
722.0,89.967,98.248,95.23,92.71
723.0,89.939,98.572,95.413,92.678
724.0,90.209,98.898,95.422,92.936
725.0,90.34,99.057,95.261,92.923
726.0,90.352,98.722,95.354,92.615
727.0,90.308,98.345,95.456,92.587
728.0,90.192,98.325,95.355,92.931
729.0,90.167,98.172,95.485,93.15
730.0,90.311,98.166,95.71,93.105
731.0,90.409,98.685,95.594,93.063
732.0,90.445,98.889,95.297,93.13
733.0,90.408,98.671,95.184,93.323
734.0,90.139,98.788,95.472,93.506
735.0,89.937,98.907,95.905,93.572
736.0,89.981,98.442,96.075,93.495
737.0,90.16,98.126,96.064,93.186
738.0,90.478,98.519,96.058,92.926
739.0,90.669,98.734,95.878,92.909
740.0,90.616,98.468,95.395,92.846
741.0,90.484,98.422,95.073,92.869
742.0,90.365,98.565,95.324,93.061
743.0,90.462,98.606,95.707,93.053
744.0,90.579,98.816,95.728,93.056
745.0,90.566,99.02,95.676,93.222
746.0,90.809,98.818,95.8,93.318
747.0,,,,
748.0,,,,
749.0,,,,
750.0,,,,
